j,i,wait,delay,service,n_node,n_queue,rho,job
0,0,0.050960,0.000000,0.050960,0.208651,0.000000,0.052163,5894.000000
0,1,0.050894,0.000000,0.050894,0.207283,0.000000,0.051821,5863.500000
0,2,0.050262,0.000000,0.050262,0.203939,0.000000,0.050985,5841.333333
0,3,0.050064,0.000000,0.050064,0.203123,0.000001,0.050780,5841.250000
0,4,0.050044,0.000000,0.050044,0.203209,0.000001,0.050802,5846.200000
0,5,0.050154,0.000000,0.050154,0.203379,0.000001,0.050844,5838.333333
0,6,0.050116,0.000000,0.050116,0.203082,0.000001,0.050770,5834.142857
0,7,0.050052,0.000000,0.050052,0.203254,0.000001,0.050813,5846.500000
0,8,0.050098,0.000000,0.050098,0.203317,0.000001,0.050829,5843.111111
0,9,0.050110,0.000001,0.050109,0.203033,0.000003,0.050757,5833.700000
0,10,0.050144,0.000001,0.050143,0.203257,0.000003,0.050814,5836.000000
0,11,0.050140,0.000001,0.050140,0.203416,0.000003,0.050853,5841.083333
0,12,0.050101,0.000001,0.050100,0.203199,0.000002,0.050799,5839.461538
0,13,0.050146,0.000001,0.050145,0.203284,0.000002,0.050820,5836.642857
0,14,0.050207,0.000001,0.050206,0.203320,0.000002,0.050830,5830.666667
0,15,0.050196,0.000001,0.050195,0.203159,0.000003,0.050789,5827.312500
0,16,0.050133,0.000001,0.050132,0.202928,0.000003,0.050731,5828.058824
0,17,0.050200,0.000001,0.050199,0.203144,0.000003,0.050785,5826.444444
0,18,0.050162,0.000001,0.050162,0.203067,0.000003,0.050766,5828.684211
0,19,0.050166,0.000001,0.050165,0.203024,0.000003,0.050755,5827.100000
0,20,0.050075,0.000001,0.050075,0.202362,0.000003,0.050590,5818.190476
0,21,0.050130,0.000001,0.050130,0.202594,0.000002,0.050648,5818.545455
0,22,0.050137,0.000001,0.050136,0.202995,0.000003,0.050748,5829.217391
0,23,0.050154,0.000001,0.050154,0.203051,0.000003,0.050762,5828.791667
0,24,0.050191,0.000001,0.050190,0.203186,0.000003,0.050796,5828.440000
0,25,0.050177,0.000001,0.050176,0.203160,0.000003,0.050789,5829.346154
0,26,0.050125,0.000001,0.050124,0.202747,0.000003,0.050686,5823.407407
0,27,0.050109,0.000001,0.050108,0.202580,0.000003,0.050644,5820.392857
0,28,0.050100,0.000001,0.050099,0.202510,0.000003,0.050627,5819.448276
0,29,0.050066,0.000001,0.050065,0.202500,0.000003,0.050624,5823.266667
0,30,0.050052,0.000001,0.050051,0.202309,0.000003,0.050577,5819.354839
0,31,0.050056,0.000001,0.050055,0.202188,0.000003,0.050546,5815.437500
0,32,0.050072,0.000001,0.050071,0.202312,0.000003,0.050577,5817.151515
0,33,0.050077,0.000001,0.050077,0.202403,0.000003,0.050600,5819.117647
0,34,0.050060,0.000001,0.050059,0.202409,0.000003,0.050601,5821.342857
0,35,0.050065,0.000001,0.050064,0.202660,0.000003,0.050664,5827.916667
0,36,0.050067,0.000001,0.050066,0.202648,0.000003,0.050661,5827.405405
0,37,0.050081,0.000001,0.050080,0.202596,0.000003,0.050648,5824.210526
0,38,0.050070,0.000001,0.050069,0.202538,0.000003,0.050634,5823.846154
0,39,0.050062,0.000001,0.050061,0.202615,0.000004,0.050653,5827.025000
0,40,0.050039,0.000001,0.050038,0.202332,0.000004,0.050582,5821.390244
0,41,0.050052,0.000001,0.050051,0.202363,0.000004,0.050590,5820.833333
0,42,0.050035,0.000001,0.050034,0.202313,0.000004,0.050577,5821.348837
